name	css	codepoint	categories	popularity	terms
box	ms:ms ms-box	f5a4	Business	167	abstract;basic;blank;border;box;Business;closed box;component;concept;container;delivery;element;empty;form;frame;graphic;item;metaphor;minimal;object;outline;package;parcel;post;postal;product;rectangle;representation;shape;shipment;shipping;simple;square;storage;structure;symbol
box_add	ms:ms ms-box_add	f5a5	Business	33	+;add;addition;box;box add;box_add;Business;carton;closed box;commerce;container;crate;create;delivery;e-commerce;inventory;item;line;logistics;management;new;outline;package;parcel;plus;post;postal;product;rectangular;shape;shipment;shipping;shop;square;stock;storage;store
box_edit	ms:ms ms-box_edit	f5a6	Business	24	adjust;alter;box;box edit;box_edit;Business;compose;configuration;container;content;correction;create;customize;data;details;document;draft;edit;editing;entry;file;form;information;input;management;modify;organize;package;pen;pencil;properties;rearrange;settings;square;tool;update;write;writing
boy	ms:ms ms-boy	eb67	Social	1554	account;avatar;body;boy;bust;character;child;gender;head;human;male;man;minimal;outline;people;person;profile;profile picture;shoulders;silhouette;simple;social;Social;symbol;user;young person
brand_awareness	ms:ms ms-brand_awareness	e98e	Audio&Video	872	alert;analysis;analytics;announcement;arrow;audio;Audio&Video;awareness;brand;brand awareness;brand_awareness;business;chart;control;data;finance;graph;growth;increase;insights;line chart;marketing;metrics;monitoring;music;news;performance;positive;progress;reporting;results;rise;sound;speaker;statistics;tracking;trend;tv;upward;visualization;volume
brand_family	ms:ms ms-brand_family	f4f1	Text	78	A;abstract;alphabet;bond;brand;brand family;brand_family;branding;character;circle;circular;collective;community;concept;connection;corporate;family;font;fonts;format;graphic;group;identity;illustration;letters;logo;members;network;organization;outline;people;relationships;representation;ring;shape;styles;symbol;team;tester;text;Text;type;typefaces;unity
branding_watermark	ms:ms ms-branding_watermark	e06b	Audio&Video	1006	abstract;asset;Audio&Video;branding;branding watermark;branding_watermark;company;components;copyright;corner;design;diagonal;element;emblem;format;graphic;identity;image;imprint;interface;layout;line;logo;mark;outline;overlay;picture;rectangle;screen;shape;sign;simple;site;square;stamp;symbol;trademark;transparency;ui;ux;vector;watermark;web;website;window
breakfast_dining	ms:ms ms-breakfast_dining	ea54	Travel	548	bakery;bread;breakfast;breakfast dining;breakfast_dining;brunch;butter;catering;circle;cooking;cuisine;culinary;delicious;diner;dining;dish;eat;edible;egg;food;fried egg;kitchen;meal;menu;morning;nutrition;order;plate;protein;restaurant;round;serving;sunny side up;tasty;toast;Travel;yolk
breaking_news	ms:ms ms-breaking_news	ea08	Text	187	!;alert;announcement;attention;breaking;breaking news;breaking_news;broadcast;caution;communication;copy;critical;current events;danger;document;error;essential;exclamation;exclamation point;flash;headline;immediate;important;information;mark;media;message;news;newspaper;notification;paper;report;sheet;square;symbol;text;Text;update;urgent;vital;warning
breaking_news_alt_1	ms:ms ms-breaking_news_alt_1	f0ba	Text	980	!;1;alert;alt;announcement;app;article;attention;breaking;breaking news alt 1;breaking_news_alt_1;caution;danger;error;exclamation;exclamation mark;graphic;headline;icon;important;information;mark;media;news;newspaper;notification;report;shape;story;symbol;Text;triangle;update;urgent;warning;web
breastfeeding	ms:ms ms-breastfeeding	f856	Social	139	babies;baby;body;breast;breastfed;breastfeed;breastfeeding;care;child;children;clinic;cuddle;family;feed;feeding;figure;health;hospital;hug;human;infant;kids;lactation;lifestyle;mama;maternity;medical;milk;mom;mommy;mother;motherhood;newborn;nourishment;nursing;nutrition;parent;pediatrician;people;person;profile;silhouette;Social;support;toddler;woman;young
brick	ms:ms ms-brick	f388	Social	134	block;brick;build;building;building block;cement;component;construction;element;establish;foundation;games;house;item;kids;masonry;material;module;mortar;object;part;piece;rectangle;segment;Social;solid;square;stone;structure;sturdy;texture;tile;toy;unit;wall
briefcase_meal	ms:ms ms-briefcase_meal	f246	Business	10	bag;baggage;box;briefcase;briefcase meal;briefcase_meal;business;Business;case;catering;commerce;container;cutlery;delivery;dining;eat;flatware;food;fork;handle;job;lunch;lunchbox;meal;office;packed lunch;professional;rectangular;restaurant;rounded corners;service;snack;solid;spoon;square;suitcase;travel;utensils;work
brightness_1	ms:ms ms-brightness_1	e3fa	Images	668	1;active;badge;basic;brightness;brightness 1;brightness_1;centralized;circle;complete;control;crescent;disc;dot;element;filled;focused;full;Images;indicator;isolated;level;lone;marker;minimal;moon;orb;perfect;point;round;screen;selected;shape;simple;single;solid;sphere;status;unified;whole
brightness_2	ms:ms ms-brightness_2	f036	Images	406	2;adjust;adjustment;brightness;brightness 2;brightness_2;circle;contrast;control;crescent;dark;dim;display;icon;Images;interface;level;light;mode;moon;night;screen;setting;switch;symbol;theme;toggle;ui element;view;visibility;visual
brightness_3	ms:ms ms-brightness_3	e3a8	Images	470	3;adjust;astronomy;atmosphere;brightness;brightness 3;brightness_3;celestial;celestial body;circle;control;cosmos;crescent;cycle;darkness;dim;display;environment;Images;indicator;level;low light;mode;moon;night;phases;satellite;screen;setting;sleep;space;symbol;third;three
brightness_4	ms:ms ms-brightness_4	e3a9	Images	902	4;adjustment;bar;brightness;brightness 4;brightness_4;circle;contrast;control;crescent;dark mode;display;exposure;glare;illumination;image;Images;intensity;level;light;luminance;moon;nature;night;option;photo;screen;setting;slider;sun;visibility;weather
brightness_5	ms:ms ms-brightness_5	e3aa	Images	1049	5;adjust;brightness;brightness 5;brightness_5;button;circle;control;crescent;display;glow;hot;icon;illumination;Images;intensity;level;light;moon;option;radial;radiation;rays;screen;setting;solar;star;summer;sun;ui;weather
brightness_6	ms:ms ms-brightness_6	e3ab	Images	1614	6;adjust;brightness;brightness 6;brightness_6;circle;contrast;control;crescent;dark;day;decrease;dim;display;environment;exposure;glow;Images;increase;level;light;luminance;monitor;moon;points;radial;ray;scale;screen;setting;slider;spokes;star;sun;sunny;weather
brightness_7	ms:ms ms-brightness_7	e3ac	Images	655	7;adjust;appearance;bright;bright light;brightness;brightness 7;brightness_7;circle;clear;clear day;control;crescent;day;daytime;display;full;full sun;glow;high;illumination;Images;increase;intensity;level;light;maximum;monitor;moon;screen;setting;shiny;star;sun;sunny;up;visual
brightness_alert	ms:ms ms-brightness_alert	f5cf	Android	243	!;adjustment;alert;Android;attention;bar;brightness;brightness alert;brightness_alert;caution;contrast;control;danger;display;error;exclamation;exposure;feedback;gamma;graphic;important;indicator;issue;level;light;mark;mobile;monitor;notice;notification;phone;problem;report;screen;setting;slider;status;sun;symbol;system;technology;warning
brightness_auto	ms:ms ms-brightness_auto	e1ab	Android	279	A;adjust;adjustment;ambient light;Android;auto;auto adjust;automatic;automatic brightness;brightness;brightness auto;brightness_auto;control;display;display settings;environment;icon;interface;level;light;light control;media;mobile;monitor;phone;screen;screen brightness;sensing;sensor;setting;settings;sparkle;star;sun;symbol;ui control
brightness_empty	ms:ms ms-brightness_empty	f7e8	Android	85	0;adjustment;Android;border;bright;brightness;brightness empty;brightness_empty;circle;control;display;empty;fill;glow;indicator;intensity;level;light;line;luminance;outline;points;radial;radial lines;ray;round;screen;setting;star;stroke;sun;thin;ui control;value
brightness_high	ms:ms ms-brightness_high	e1ac			brightness;brightness high;brightness_high;high
brightness_low	ms:ms ms-brightness_low	e1ad			brightness;brightness low;brightness_low;low
brightness_medium	ms:ms ms-brightness_medium	e1ae	Android	495	adjustment;Android;auto;brightness;brightness medium;brightness_medium;circle;configuration;control;dial;display;glow;illumination;interface;level;light;medium;mobile;monitor;options;phone;radial;rays;screen;setting;sun;visibility;visual
bring_your_own_ip	ms:ms ms-bring_your_own_ip	e016	Social	937	address;arrow;arrow box;box;bring;bring your own;bring your own ip;bring_your_own_ip;cloud;computer;configuration;connection;data;directional;download;export;globe;import;input;internet;internet protocol;ip;ip address;it;migration;move;network;networking;output;own;protocol;server;setup;Social;square;storage;technology;transfer;upload;world;your
broadcast_on_home	ms:ms ms-broadcast_on_home	f8f8	Audio&Video	197	airplay;audio;Audio&Video;broadcast;broadcast on home;broadcast_on_home;cast;communication;connect;connectivity;content;device;home;house;media;network;on;remote;send;share;signal;smart device;smart home;sound;speaker;streaming;technology;transmission;transmit;wave;wireless;wireless communication
broadcast_on_personal	ms:ms ms-broadcast_on_personal	f8f9	Audio&Video	259	account;antenna;Audio&Video;avatar;broadcast;broadcast on personal;broadcast_on_personal;communication;connection;digital;feed;internet;live;me;network;on;online;person;personal;profile;publish;radiating;sharing;signal;social;stream;transmit;update;user;wave
broken_image	ms:ms ms-broken_image	e3ad	Images	1074	alert;broken;broken image;broken_image;content;corrupt;damaged;data;default;display error;error;failed;file;graphic;image;Images;issue;landscape;loading error;media;missing;mountain;mountains;network issue;no image;not found;photo;photography;picture;placeholder;problem;resource;server error;thumbnail;torn;unavailable;visual;warning
browse	ms:ms ms-browse	eb13	Actions	207	Actions;archive;browse;catalog;categorized;content;data;details;directory;document;documents;explore;files;find;folder;grid;index;information;items;layout;library;list;organized;page;pages;paper;paper stack;papers;records;reports;search;stack;view;web
browse_activity	ms:ms ms-browse_activity	f8a5	UI actions	1447	actions;activity;activity feed;browse;browse activity;browse_activity;browsing;chronological;desktop;device;display;entries;events;feed;flow;hardware;history;history list;journey;list;log;log entries;monitor;notification;order;past;path;progress;recent;record;screen;scroll;sequence;star;stream;timeline;trail;UI actions;update
browse_gallery	ms:ms ms-browse_gallery	ebd1	UI actions	1724	album;artwork;assets;browse;browse gallery;browse_gallery;catalog;clock;collection;explore;files;gallery;graphics;grid;illustrations;image library;images;library;media;multimedia;photo album;photo library;photography;pictures;stack;storage;thumbnails;UI actions;view;visual assets;visual content;watch
browser_not_supported	ms:ms ms-browser_not_supported	ef47			browser;browser not supported;browser_not_supported;not;supported
browser_updated	ms:ms ms-browser_updated	e7cf	Hardware	672	Android;application;arrow;browser;browser updated;browser_updated;checkmark;chrome;complete;computer;confirmation;desktop;device;display;done;download;finished;green tick;hardware;Hardware;install;installed;internet;iOS;mac;monitor;navigation;new version;OS;page;program;progress;refresh;screen;software;status;success;tab;tick;update;updated;verification;web;web browser;website;window
brunch_dining	ms:ms ms-brunch_dining	ea73	Travel	481	bistro;breakfast;brunch;brunch dining;brunch_dining;cafe;champagne;cuisine;cutlery;dining;dining room;diningware;drink;eat;eatery;eating;food;fork;knife;lunch;meal;mealtime;nourish;repast;reservation;restaurant;setting;silverware;spoon;table;Travel;utensils
brush	ms:ms ms-brush	e3ae	Images	3981	art;artist;artistic;bristle;brush;color;creative;design;designer;draw;drawing;drawing tool;edit;editing;editor;fill;graphics;handle;illustration;Images;instrument;line;object;paint;painter;painting;painting tool;shape;stroke;style;tip;tool;tools
bubble	ms:ms ms-bubble	ef83	UI actions	116	arrow;arrows;balloon;bubble;chat;chat bubble;circle;comment;communicate;communication;conversation;converse;diagonal;dialog;dialog box;dialogue;direction;discuss;discussion;message;right;shape;speak;speak bubble;speaking;speech bubble;talk;talk bubble;text;text message;texting;thinking;thought;thought bubble;UI actions;up;voice;writing
bubble_chart	ms:ms ms-bubble_chart	e6dd	Business	1357	analysis;analytics;bar;bars;bubble;bubble chart;bubble_chart;Business;business intelligence;chart;circles;comparison;dashboard;data;diagram;dots;education;finance;graph;infographic;information;measure;measurements;metrics;points;presentation;progress;reporting;research;results;scale;scatter plot;science;statistics;summary;tracking;trends;visualization
bubbles	ms:ms ms-bubbles	f64e	UI actions	61	abstract;airy;app;arrow;arrows;background;bath;beverage;bubbles;carbonation;champagne;chemistry;circles;cleaning;close;collapse;decorative;design element;direction;down;drink;effervescence;fizzy;floating;foam;graphic;interface;light;liquid;pattern;playful;right;science;soap bubbles;soda;spheres;ui;UI actions;ux;visual effect;window
bucket_check	ms:ms ms-bucket_check	ef2a	UI actions	42	accepted;approval;bucket;bucket check;bucket_check;capacity;check;checkmark;complete;confirm;confirmation;container;correct;done;enter;filled;full;indicator;inventory;list;mark;measure;ok;okay;order;pail;quantity;review;select;sign;status;success;task;tick;UI actions;verification;volume;yes
bug_report	ms:ms ms-bug_report	e868	Actions	7200	Actions;alert;animal;application;bug;bug report;bug_report;case;circle;communicate;complaint;creature;debugging;document;error;feedback;file;fix;help;insect;issue;message;note;notify;paper;problem;report;software;submit;support;system;testing;ticket;troubleshooting;virus;warning
build	ms:ms ms-build	f8cd	Actions	8907	Actions;adjust;adjustment;build;building;configuration;construction;control;engineering;equipment;fix;fixing;gear;general;hardware;home;industrial;instrument;machinery;maintenance;mechanical;nest;options;repair;service;settings;spanner;tool;toolkit;tools;utility;work;wrench
build_circle	ms:ms ms-build_circle	ef48	Actions	2756	Actions;adjust;build;build circle;build_circle;circle;cog;configuration;construct;contained;create;development;engineer;fix;gear;machinery;maintenance;mechanical;options;outlined;preferences;repair;round;settings;setup;spanner;technical;tool;wrench
bungalow	ms:ms ms-bungalow	e591	Travel	265	accommodation;architecture;building;bungalow;buy;chimney;construction;cottage;dwelling;estate;home;home icon;house;house icon;housing;lodging;maps;place;property;property listing;real;real estate;rent;residence;residential;roof;shelter;simple house;small house;stay;structure;Travel;traveling;windows
burst_mode	ms:ms ms-burst_mode	e43c	Images	255	action;burst;burst mode;burst_mode;camera;capture;continuous;fast;frames;image;Images;landscape;many;mode;mountain;mountains;multiple;photo;photography;picture;quick;rapid;repeat;repeating;sequence;series;shoot;shooting;shutter;snapping;speed;stream;taking
bus_alert	ms:ms ms-bus_alert	e98f	Transit	468	!;alarm;alert;attention;automobile;breakdown;bus;bus alert;bus_alert;car;cars;caution;commuter;danger;error;exclamation;exclamation mark;important;information;issue;journey;maps;mark;message;mobility;notification;passenger;problem;public transport;road;route;signal;stop;symbol;transit;Transit;transportation;travel;triangle;update;vehicle;warning
bus_map_pin	ms:ms ms-bus_map_pin	fffa2	Transit	6	automobile;bus;bus map pin;bus stop;bus_map_pin;car;cars;city;commute;destination;direction;directions;filled;find;gps;guide;journey;location;map;maps;marker;mobility;navigation;pin;place;point;position;public;public transport;road;route;station;stop;street;tracking;transit;Transit;transport;transportation;travel;urban;vehicle
bus_railway	ms:ms ms-bus_railway	f36b	Transit	39	arrow;automobile;bus;bus railway;bus_railway;car;cars;city;commute;direction;directions;journey;line;map;maps;mass transit;metropolitan;navigation;point of interest;public;public transport;rail;railway;route;schedule;station;stop;subway;timetable;town;train;tram;transit;Transit;transport;transportation;travel;trolley;urban;vehicle
business	ms:ms ms-business	e7ee			business
business_center	ms:ms ms-business_center	eb3f	Maps	5424	accessory;assets;bag;baggage;belongings;box;briefcase;business;business center;business_center;career;carrying;case;center;commerce;container;corporate;goods;handle;holding;item;job;luggage;Maps;object;office;personal;places;portfolio;professional;purse;rectangle;storage;strap;suitcase;travel;work
business_chip	ms:ms ms-business_chip	f84c	Text	59	agency;architecture;bag;baggage;briefcase;building;business;business card;business chip;business_chip;card;case;chip;chip card;city;commercial;company;corporate;corporation;enterprise;establishment;firm;headquarters;identity;institution;office;operations;organization;professional;profile;profile card;purse;skyscraper;structure;suitcase;Text;urban;work
business_messages	ms:ms ms-business_messages	ef84	Communicate	95	arrows;bubble;business;business messages;business_messages;chat;chat bubble;commerce;Communicate;communication;communication channel;company;consultation;contact;conversation;conversation bubble;corporate;dialogue;enterprise;interaction;message;message bubble;messages;office;online chat;professional;receive message;send message;service;speech;speech bubble;support;talk;text;trade;work
buttons_alt	ms:ms ms-buttons_alt	e72f	UI actions	41	+;abstract;action;alt;alternate;alternative;basic;button;buttons;buttons alt;buttons_alt;circle;command;component;controls;dashboard;element;floating;geometric;input;interaction;interface;layout;menu;options;panel;plus;select;settings;shape;square;switch;symbol;toggle;triangle;ui;UI;UI actions
cabin	ms:ms ms-cabin	e589	Travel	500	accommodation;architecture;basic;building;cabin;camping;cottage;country;door;dwelling;escape;estate;getaway;home;house;lodging;log;log cabin;maps;nature;outdoors;place;property;real;real estate;rectangle;residence;residential;roof;rural;shelter;simple;square;stay;structure;travel;Travel;traveling;triangle;vacation;walls;windows;wood
cable	ms:ms ms-cable	efe6	Android	1456	analog;Android;cable;communication;component;connect;connection;connector;cord;data;device;digital;electrical;electricity;electronic;electronics;hardware;input;line;link;network;network cable;optic;output;plug;port;power;signal;socket;technology;transfer;transmit;usb;wire
cable_car	ms:ms ms-cable_car	f479	Transit	8	aerial;automobile;cabin;cable;cable car;cable_car;car;cars;city transport;commuter;destination;direction;elevation;gondola;journey;line;maps;mountain;outdoor;public;public transport;rail;railway;ride;rope;ski resort;sky lift;slope;subway;tourism;tourist attraction;train;tram;transit;Transit;transportation;travel;trolley;urban transport;vehicle;view
cached	ms:ms ms-cached	e86a	UI actions	5666	access;around;arrows;cache;cached;circle;cloud;connection;data;database;directory;download;files;folder;information;inprogress;load;loading refresh;loop;memory;network;offline;processing;refresh;reload;renew;retrieve;rotate;save;server;storage;store;sync;synchronize;system;two arrows;UI actions;update
cadence	ms:ms ms-cadence	f4b4	Activities	92	Activities;audio;audio bars;audio graph;audio level;bar graph;beat;beat per minute;beats per minute;bpm;cadence;chart;consistent;equalizer;exercise;fitbit;fitness;frequency;frequency bars;graph;level;music;music bars;pulse;rhythm;routine;running;signal;sound;sound waves;steps;steps per minute;tempo;volume;volume bars;wave;waveform
cake	ms:ms ms-cake	e7e9	Activities	3940	Activities;add;anniversary;baked;baked goods;bakery;birthday;cake;candle;candles;celebration;confection;delicious;dessert;edible;event;festive;food;frosting;happy birthday;holiday;new;occasion;party;pastries;pastry;patisserie;plus;slice;snack;social;special occasion;sugar;sweet;symbol;treat
cake_add	ms:ms ms-cake_add	f85b	Activities	103	Activities;add;adding item;anniversary;bake;baked goods;bakery;birthday;cake;cake add;cake_add;candle;celebration;confection;create;decorate;dessert;dessert item;event;festive;food;frosting;happy birthday;icing;make;new;occasion;party;pastry;plus;sugary;sweet;treat
calculate	ms:ms ms-calculate	ea5f	Business	7601	-;+;=;addition;arithmetic;Business;calculate;calculator;count;counting;digits;division;equals;equation;filled;finance calculator;geometry;keypad;line;math;math operations;multiplication;number pad;numbers;numpad;object;result;shape;solid;subtraction;sum;symbol;technology;tool;total
calendar_add_on	ms:ms ms-calendar_add_on	ef85	Communicate	2323	+;add;agenda;appointment;booking;border;button;calendar;calendar add on;calendar_add_on;Communicate;create;date;day;event;icon;insert;log;mark;month;new;new symbol;on;outline;planner;plus;record;register;reminder;schedule;square;symbol;time;today;ui;year
calendar_apps_script	ms:ms ms-calendar_apps_script	f0bb	Communicate	330	add-on;application;appointment;apps;apps script;automation;box;calendar;calendar apps script;calendar_apps_script;code;Communicate;connect;date;day;developer;development;event;extension;integration;lines;link;management;month;organization;planning;plugin;programming;rectangle;reminder;schedule;script;sync;today;tool;year
calendar_check	ms:ms ms-calendar_check	f243	Actions	159	accepted;Actions;agenda;appointment;approved date;booking;calendar;calendar check;calendar with check;calendar_check;check;complete;confirm;confirmed;confirmed date;correct;date;date with check;day;deadline;done;enter;event;event date;mark;month;ok;okay;planning;reminder;schedule;schedule date;select;success;tick;time;timestamp;today;validated;verified;yes
calendar_clock	ms:ms ms-calendar_clock	f540	Actions	480	Actions;agenda;alarm;alert;appointment;bell;calendar;calendar clock;calendar_clock;circle;clock;date;day;deadline;disabled;duration;enabled;event;future;graphic;history;hour;icon;later;limit;management;minute;month;notification;past;planning;present;reminder;schedule;second;shape;square;symbol;time;timeline;timer;today;watch
calendar_lock	ms:ms ms-calendar_lock	f242	Actions	15	access;access control;Actions;appointment;blocked;booking;calendar;calendar lock;calendar_lock;confidential;date;day;diary;enclosed;event;limited;lock;locked;month;organizer;password;permission;privacy;private;protected;protection;restricted;safety;schedule;sealed;secure;security;time;today;unavailable
calendar_meal	ms:ms ms-calendar_meal	f296	Social	17	agenda;appointment;booking;breakfast;calendar;calendar meal;calendar_meal;date;day;diet;dining;dinner;eat;event;flatware;food;fork;healthy eating;knife;log;lunch;meal;menu;month;nutrition;organizer;plan;planning;plate;reservation;restaurant;schedule;seasonal;Social;time;today;tracking
calendar_meal_2	ms:ms ms-calendar_meal_2	f240	Maps	6	2;agenda;alert;app;application;appointment;booking;calendar;calendar meal 2;calendar_meal_2;clock;date;day;dining;dish;event;flatware;food;fork;graphic;icon;interface;knife;linear;Maps;meal;menu;mobile;month;notification;outline;pictogram;planning;rectangle;reminder;reservation;restaurant;schedule;seasonal;symbol;time;today;web;year
calendar_month	ms:ms ms-calendar_month	ebcc	Actions	38543	Actions;agenda;appointment;button;calendar;calendar month;calendar_month;clock;date;day;duration;element;event;icon;interface;lines;month;navigation;organise;period;plan;record;rectangle;schedule;square;symbol;time;today;widget
calendar_today	ms:ms ms-calendar_today	e935	Actions	12141	Actions;agenda;appointment;booking;calendar;calendar today;calendar_today;calendaricon;calendartoday;daily;date;dating;day;diary;event;grid;lines;month;monthly;organizer;plan;planning;punctual;rectangle;reminder;schedule;square;time;today;todaycalendar;week;year;yearly
calendar_view_day	ms:ms ms-calendar_view_day	e936	Text	709	activity;agenda;appointment;appointments;calendar;calendar view day;calendar_view_day;column;date;day;day view;detailed;event;events;format;grid;layout;linear;list;list view;long;month;organize;plan;rectangle;schedule;scheduler;shape;single;Text;time;timeline;today;vertical;view;week
calendar_view_month	ms:ms ms-calendar_view_month	efe7	Text	1017	agenda;appointments;arrangement;block;booking;box;calendar;calendar view month;calendar_view_month;date;day;event;events;format;grid;horizontal;layout;lines;matrix;month;organizer;outline;planning;rectangle;reminder;schedule;structure;Text;time;today;vertical;view;weekly;yearly
calendar_view_week	ms:ms ms-calendar_view_week	efe8	Text	764	appointments;arrangement;calendar;calendar view week;calendar_view_week;columns;date;dates;day;days;display;event;events;format;grid;layout;management;month;organizer;overview;planner;planning;rectangle;schedule;seven days;structure;Text;time;timeline;today;vertical;view;week;weekly
call	ms:ms ms-call	f0d4	Communicate	48295	audio;business;call;cell;Communicate;communication;connect;connection;contact;contact us;customer service;device;dial;directory;emergency;handset;hardware;help;incoming;local phone;mobile;office;outgoing;phone;phone alt;receiver;ring;speak;support;talk;telecommunication;telephone;voice
call_end	ms:ms ms-call_end	f0bc	Communicate	1865	audio;button;call;call end;call_end;cancel;cell;close;Communicate;communication;contact;control;decline;device;disconnect;end;hang up;hardware;incoming;interaction;mobile;outgoing;phone;pictogram;reject;ringing;shape;stop;symbol;telephone;terminate;voice
call_end_alt	ms:ms ms-call_end_alt	f0bc			alt;call;call end alt;call_end_alt;end
call_log	ms:ms ms-call_log	e08e	Communicate	49	archive;call;call history;call log;call_log;cell;cellular;chronological;Communicate;communication;communication history;contact;contacts;detail;device;directory;entries;hardware;history;history list;incoming;information;list;log;missed calls;mobile;outgoing;phone;phone call;recent;record;smartphone;summary;telecommunications;telephone;telephone history
call_made	ms:ms ms-call_made	e0b2	Communicate	1440	action;activity;angular;arrow;call;call made;call_made;Communicate;communication;connectivity;control;device;diagonal arrow;direction;external link;icon;indicator;interface;line;line arrow;link;made;mobile;navigate;outbound;outgoing;phone;pointer;right arrow;share;symbol;telephone;top right arrow
call_merge	ms:ms ms-call_merge	e0b3	Communicate	512	arrow;arrows;branches;call;call merge;call_merge;collapse;combine;Communicate;connect;connect points;connecting points;consolidate;consolidate lines;converge;converging lines;data;device;diagram;direction;dots;flowchart;graph;integrate;join;lines;link;merge;mobile;network;node;points;structure;union;unity
call_missed	ms:ms ms-call_missed	e0b4	Communicate	360	alert;angle;angle down;arrow;call;call missed;call status;call_missed;Communicate;communication;contact;declined call;device;diagonal down;diagonal line;dialing;direction;down;dropped call;hang up;history;line;log;missed;missed call;mobile;notification;phone;phone symbol;recent calls;smartphone;technology;telephone;telephony
call_missed_outgoing	ms:ms ms-call_missed_outgoing	e0e4	Communicate	390	arrow;attempted;call;call missed outgoing;call_missed_outgoing;cellular;Communicate;communication;connection;contact;device;diagonal;dial;direction;failed;history;icon;incomplete;indicator;line;log;missed;mobile;network;number;outgoing;phone;point;right;signal;symbol;telephone;unfinished;up
call_quality	ms:ms ms-call_quality	f652	Communicate	56	alert;announcement;assistance;audio;bars;call;call quality;call_quality;cell;cellular;Communicate;communication;connection;connectivity;contact;details;device;good connection;hardware;help;i;indicator;info;information;level;meter;mobile;network;network strength;performance;phone;quality;reception;service;signal;status;status indicator;strength;strong signal;support;telecom;telecommunications;telephone;voice;wireless
call_received	ms:ms ms-call_received	e0b5	Communicate	944	accept;alert;answering;arrival;arrow;audio;bottom;call;call received;call_received;Communicate;communication;connectivity;curve;device;direction;download;history;inbound call;incoming;incoming call;left;line;log;message;mobile;notification;phone;point;received;recent calls;signal;telephone;voice
call_split	ms:ms ms-call_split	e0b6	Communicate	1003	action;arrow;arrows;branch;call;call split;call_split;Communicate;communication;connect;connection;control;device;direction;disconnect;distribute;diverge;divide;fork;lines;menu;mobile;more;multiply;navigation;network;options;path;phone;redirect;routing;separate;share;split;spread;telephone;transfer
call_to_action	ms:ms ms-call_to_action	e06c	Audio&Video	618	action;active;alert;arrow;Audio&Video;bar;button;call;call to action;call_to_action;choose;clicking;components;cta;cursor;cursor hand;design;desktop;fingertip;gesture;hand;highlight;icon;info;information;interacting;interaction;interface;layout;link;message;mobile;navigation;notification;pointer;pointing;press;screen;select;site;to;touch;touch screen;ui;ui element;ux;web;website;window
camera	ms:ms ms-camera	e3af	Images	2773	aperture;button;camera;capture;capture device;device;digital;electronic;film;glyph;graphic;icon;image;Images;instant;lens;media;optic;photo;photography;picture;record;recording;shoot;shutter;snapshot;symbol;tool;ui element;video;viewfinder;visual
camera_alt	ms:ms ms-camera_alt	e412			alt;camera;camera alt;camera_alt
camera_enhance	ms:ms ms-camera_enhance	e8fc			camera;camera enhance;camera_enhance;enhance
camera_front	ms:ms ms-camera_front	f2c9			camera;camera front;camera_front;front
camera_indoor	ms:ms ms-camera_indoor	efe9	Household	412	architecture;automation;building;camera;camera indoor;camera_indoor;cctv;device;dome camera;electronic;estate;film;filming;home;home security;house;Household;image;indoor;indoor camera;inside;interior camera;ip camera;live feed;monitoring;motion;nest;network camera;picture;place;protection;real;recording;residence;residential;safety;security;security camera;shelter;smart home;stream;surveillance;surveillance camera;technology;video;video feed;videography
camera_outdoor	ms:ms ms-camera_outdoor	efea	Household	326	architecture;building;business;camera;camera outdoor;camera_outdoor;cctv;commercial;dome camera;estate;exterior;film;filming;footage;home;home security;house;Household;image;monitor;monitoring;motion;nest;outdoor;outdoor camera;outside;perimeter;picture;place;property;protection;real;record;recording;residence;residential;safety;security;security camera;shelter;surveillance;surveillance camera;video;videography;view;watching
camera_rear	ms:ms ms-camera_rear	f2c8			camera;camera rear;camera_rear;rear
camera_roll	ms:ms ms-camera_roll	e3b3	Images	454	album;browse photos;camera;camera roll;camera_roll;collection;digital photos;film;gallery;image;image collection;image gallery;images;Images;library;media;memories;mobile;photo;photo album;photo collection;photo storage;photography;photography collection;photos;pictures;roll;saved photos;smartphone;view photos;visual media
camera_video	ms:ms ms-camera_video	f7a6	Hardware	102	aperture;button;cam;camcorder;camera;camera video;camera_video;capture;cinema;desk;device;electronic;film;filming;hardware;Hardware;image;lens;live;media;motion;movie;multimedia;photography;picture;playback;production;record;recording;rectangle;reel;rounded corners;shoot;stream;technology;video;videography;visual;webcam
cameraswitch	ms:ms ms-cameraswitch	efeb	Android	1109	Android;arrow;arrows;back camera;camera;camera switch;camera toggle;cameraswitch;change camera;circle;circular arrows;communication;flip;flip camera;front camera;mobile camera;photo camera;photography;record;rotate;rotate camera;selfie camera;shoot;swap;switch;switch camera;two arrows;video call;video camera;video chat;videography;view
campaign	ms:ms ms-campaign	ef49	Activities	11019	achievement;action;Activities;advertisement;alert;announcement;banner;campaign;celebration;concept;curve;direction;emblem;event;flag;goal;line;loud;marketing;megaphone;microphone;milestone;navigation;notification;object;pennant;point;progress;promotion;shape;speaker;success;symbol;triangle;victory;wave;wind
camping	ms:ms ms-camping	f8a2	Activities	808	Activities;activity;adventure;camp;camping;destination;exploration;forest;hike;holiday;leisure;location;mountain;nature;outdoor;peak;recreation;shelter;site;tent;tourism;travel;triangle;vacation;wilderness
